project_id,mp_constituency,state,work_category,units,unit_type,contractor_id,sanctioned_cost_inr,regional_baseline_cost_inr,recommended_date,sanction_date,start_date,completion_certified_date,fund_release_date,planned_duration_days,latitude,longitude,_ground_truth_is_anomalous,_ground_truth_anomaly_type
MPLAD-00001,Warangal,Telangana,Street Lighting,0.57,unit,CTR-0009,234849.19,256500.0,2022-02-24,2022-05-21,2022-06-07,2022-06-27,2022-07-26,17,17.3195,78.4492,False,
MPLAD-00002,Nalgonda,Telangana,Health Sub-Centre,2.51,unit,CTR-0195,8509436.69,8032000.0,2022-11-15,2022-12-27,2023-01-22,2024-03-21,2024-04-09,451,16.9967,78.8475,False,
MPLAD-00003,Nalgonda,Telangana,Health Sub-Centre,1.65,unit,CTR-0187,11188624.05,5280000.0,2022-06-11,2022-09-04,2022-09-27,2023-11-30,2023-12-18,349,17.4774,78.7046,True,cost_inflation
MPLAD-00004,Warangal,Telangana,Drinking Water Supply,1.45,unit,CTR-0026,1715680.18,1740000.0,2022-11-30,2023-01-31,2023-02-27,2023-03-21,2023-03-25,100,17.6018,78.6835,True,ghost_project
MPLAD-00005,Kanpur,Uttar Pradesh,Drainage System,1.45,km,CTR-0071,1829236.92,1595000.0,2023-03-26,2023-05-21,2023-05-29,2023-07-12,2023-07-16,158,27.105,80.8012,True,ghost_project
MPLAD-00006,Patna Sahib,Bihar,Drainage System,2.14,km,CTR-0055,2280295.25,2354000.0,2024-07-28,2024-08-30,2024-09-20,2025-05-17,2025-06-16,251,25.639,85.347,False,
MPLAD-00007,Gaya,Bihar,Street Lighting,1.05,unit,CTR-0093,543025.96,472500.0,2022-07-06,2022-07-27,2022-08-08,2022-08-13,2022-08-16,32,25.8921,85.0222,True,ghost_project
MPLAD-00008,Varanasi,Uttar Pradesh,Street Lighting,2.65,unit,CTR-0142,1017732.34,1192500.0,2023-07-01,2023-08-28,2023-09-09,2023-12-07,2023-12-12,88,26.7537,81.3538,False,
MPLAD-00009,Kota,Rajasthan,Drinking Water Supply,0.95,unit,CTR-0196,1281118.72,1140000.0,2023-09-04,2023-11-22,2024-01-04,2024-03-08,2024-03-26,66,27.1625,75.8394,False,
MPLAD-00010,Cuttack,Odisha,Street Lighting,2.0,unit,CTR-0001,896923.54,900000.0,2024-01-14,2024-03-08,2024-03-28,2024-04-11,2024-04-12,56,19.8857,85.786,True,ghost_project
MPLAD-00011,Pune,Maharashtra,Community Hall,2.87,unit,CTR-0122,6454185.78,7175000.0,2024-05-16,2024-06-27,2024-08-05,2026-02-02,2026-02-09,455,19.3129,72.799,False,
MPLAD-00012,Jaipur Rural,Rajasthan,Drinking Water Supply,1.63,unit,CTR-0133,3705369.06,1956000.0,2022-02-13,2022-05-14,2022-06-23,2022-09-19,2022-09-28,89,26.4072,76.0078,True,cost_inflation
MPLAD-00013,Bhubaneswar,Odisha,Road Construction,0.68,km,CTR-0085,532570.0,578000.0,2023-03-15,2023-06-07,2023-06-20,2023-09-07,2023-10-02,67,20.043,85.773,False,
MPLAD-00014,Warangal,Telangana,Road Construction,1.56,km,CTR-0091,1312882.41,1326000.0,2022-07-21,2022-08-12,2022-09-11,2023-03-15,2023-03-16,156,17.1487,78.1902,False,
MPLAD-00015,Secunderabad,Telangana,School Building Repair,1.12,unit,CTR-0058,1135995.52,1008000.0,2022-07-20,2022-08-10,2022-09-18,2023-01-02,2023-01-02,86,17.8264,78.8487,True,contractor_collusion
MPLAD-00016,Bhubaneswar,Odisha,Community Hall,2.76,unit,CTR-0103,6205798.84,6900000.0,2024-03-10,2024-04-27,2024-05-31,2025-06-11,2025-07-11,371,20.4619,85.7867,False,
MPLAD-00017,Nalgonda,Telangana,Community Hall,2.34,unit,CTR-0149,5079480.54,5850000.0,2022-04-13,2022-07-11,2022-08-15,2022-10-01,2022-10-05,348,17.0574,78.9608,True,ghost_project
MPLAD-00018,Pune,Maharashtra,Road Construction,1.51,km,CTR-0061,1453536.59,1283500.0,2022-03-23,2022-04-17,2022-05-18,2022-11-01,2022-11-29,144,18.9164,72.6608,False,
MPLAD-00019,Kanpur,Uttar Pradesh,Drinking Water Supply,0.83,unit,CTR-0071,1039475.64,996000.0,2022-05-29,2022-06-14,2022-07-18,2022-09-13,2022-09-14,50,26.3733,80.6132,False,
MPLAD-00020,Cuttack,Odisha,Road Construction,1.42,km,CTR-0063,1083070.13,1207000.0,2023-09-12,2023-12-03,2023-12-08,2024-05-26,2024-06-25,146,20.0994,85.9634,False,
MPLAD-00021,Varanasi,Uttar Pradesh,Community Hall,2.72,unit,CTR-0030,7294530.04,6800000.0,2023-08-01,2023-09-11,2023-10-07,2024-10-19,2024-10-30,386,26.8054,80.6511,False,
MPLAD-00022,Warangal,Telangana,Road Construction,1.19,km,CTR-0213,860850.94,1011500.0,2023-06-21,2023-07-26,2023-08-28,2024-01-10,2024-02-01,121,17.4609,78.1119,False,
MPLAD-00023,Cuttack,Odisha,Drainage System,1.86,km,CTR-0039,2251374.42,2046000.0,2022-10-31,2023-01-09,2023-01-22,2023-07-23,2023-08-10,199,20.699,86.0961,False,
MPLAD-00024,Kanpur,Uttar Pradesh,Drinking Water Supply,0.76,unit,CTR-0171,988639.8,912000.0,2024-04-12,2024-05-16,2024-06-05,2024-08-08,2024-08-14,52,27.1814,80.4248,False,
MPLAD-00025,Madurai,Tamil Nadu,Drinking Water Supply,2.51,unit,CTR-0106,3340968.26,3012000.0,2023-07-01,2023-08-05,2023-08-16,2024-02-12,2024-02-09,171,11.3586,77.8224,False,
MPLAD-00026,Patna Sahib,Bihar,School Building Repair,2.55,unit,CTR-0079,2550655.91,2295000.0,2023-01-31,2023-04-07,2023-05-03,2023-11-05,2023-11-04,184,26.0669,84.8791,False,
MPLAD-00027,Pune,Maharashtra,School Building Repair,1.84,unit,CTR-0216,1874213.01,1656000.0,2023-06-19,2023-07-26,2023-09-06,2024-02-17,2024-02-28,128,18.6383,72.9966,False,
MPLAD-00028,Patna Sahib,Bihar,Health Sub-Centre,2.02,unit,CTR-0112,6486151.6,6464000.0,2023-01-25,2023-03-13,2023-03-20,2024-05-28,2024-05-23,368,25.6199,85.4065,False,
MPLAD-00029,Coimbatore,Tamil Nadu,Drainage System,1.58,km,CTR-0094,1972043.16,1738000.0,2023-10-05,2023-11-04,2023-11-28,2024-06-19,2024-07-10,185,10.8262,78.2972,False,
MPLAD-00030,Gaya,Bihar,Community Hall,2.85,unit,CTR-0171,7504017.11,7125000.0,2023-09-09,2023-11-14,2023-12-24,2025-08-30,2025-09-13,499,25.3869,85.0299,False,
MPLAD-00031,Patna Sahib,Bihar,Drainage System,1.6,km,CTR-0120,1852731.18,1760000.0,2022-12-14,2023-01-08,2023-01-31,2023-08-04,2023-08-20,168,25.1934,85.552,False,
MPLAD-00032,Kanpur,Uttar Pradesh,Drinking Water Supply,0.56,unit,CTR-0038,620560.26,672000.0,2022-05-30,2022-08-11,2022-09-11,2022-10-23,2022-10-30,34,27.0183,80.784,False,
MPLAD-00033,Pune,Maharashtra,Community Hall,0.51,unit,CTR-0177,1370993.91,1275000.0,2022-08-07,2022-10-15,2022-11-03,2023-01-24,2023-02-21,85,19.0645,72.9574,False,
MPLAD-00034,Jaipur Rural,Rajasthan,Road Construction,2.5,km,CTR-0035,2231830.8,2125000.0,2023-10-12,2023-12-22,2024-02-04,2024-12-29,2025-01-25,269,26.8267,76.2069,False,
MPLAD-00035,Coimbatore,Tamil Nadu,Community Hall,1.15,unit,CTR-0116,2656994.27,2875000.0,2024-12-03,2025-02-18,2025-04-04,2025-10-07,2025-10-30,187,10.5775,77.8857,False,
MPLAD-00036,Cuttack,Odisha,Drinking Water Supply,0.7,unit,CTR-0139,752009.33,840000.0,2022-11-09,2022-12-21,2022-12-30,2023-02-12,2023-02-28,42,20.3426,85.7158,False,
MPLAD-00037,Gaya,Bihar,School Building Repair,1.96,unit,CTR-0198,1867470.76,1764000.0,2024-02-19,2024-05-05,2024-05-10,2024-12-13,2024-12-27,170,25.8535,85.4534,False,
MPLAD-00038,Kota,Rajasthan,School Building Repair,2.34,unit,CTR-0192,2295456.71,2106000.0,2024-09-26,2024-11-08,2024-11-30,2025-07-07,2025-07-03,204,26.7889,75.9689,False,
MPLAD-00039,Secunderabad,Telangana,Drainage System,2.95,km,CTR-0033,3278219.35,3245000.0,2022-02-25,2022-03-22,2022-04-23,2023-03-18,2023-04-11,345,17.0817,78.2602,False,
